VentaID,ClienteID,ProductoID,Cantidad,FechaVenta,Region,ProductoID,NombreProducto,Categoria,PrecioUnitario,ClienteID,NombreCliente,Email,Telefono,Direccion,CategoriasID,NombreCategoria,Venta Total,TransaccionID
101,1058,514,6,1/1/2024,Oeste,514,Producto 14,Hogar,36.84,1058,Cliente 58,cliente58@example.com,555-6730,Calle 58 #827,1,Hogar,221.04,1
102,1086,509,3,2/1/2024,Sur,509,Producto 9,Juguetería,560.93,1086,Cliente 86,cliente86@example.com,555-1791,Calle 86 #10,2,Jugueteria,1682.79,2
103,1060,527,1,3/1/2024,Sur,527,Producto 27,Juguetería,1041.34,1060,Cliente 60,cliente60@example.com,555-6932,Calle 60 #33,2,Jugueteria,1041.34,3
104,1024,530,3,4/1/2024,Este,530,Producto 30,Electrónica,582.82,1024,Cliente 24,cliente24@example.com,555-3073,Calle 24 #736,3,Electronica,1748.46,4
105,1063,527,6,5/1/2024,Este,527,Producto 27,Juguetería,1041.34,1063,Cliente 63,cliente63@example.com,555-3563,Calle 63 #653,2,Jugueteria,6248.04,5
106,1022,525,7,6/1/2024,Este,525,Producto 25,Hogar,1974.19,1022,Cliente 22,cliente22@example.com,555-6826,Calle 22 #131,1,Hogar,13819.33,6
107,1070,517,5,7/1/2024,Este,517,Producto 17,Hogar,255.04,1070,Cliente 70,cliente70@example.com,555-5462,Calle 70 #269,1,Hogar,1275.2,7
108,1025,521,3,8/1/2024,Sur,521,Producto 21,Electrónica,392.57,1025,Cliente 25,cliente25@example.com,555-9078,Calle 25 #948,3,Electronica,1177.71,8
109,1064,510,2,9/1/2024,Oeste,510,Producto 10,Juguetería,446.9,1064,Cliente 64,cliente64@example.com,555-8040,Calle 64 #494,2,Jugueteria,893.8,9
110,1024,504,2,10/1/2024,Sur,504,Producto 4,Electrónica,1195.43,1024,Cliente 24,cliente24@example.com,555-3073,Calle 24 #736,3,Electronica,2390.86,10
111,1100,515,3,11/1/2024,Este,515,Producto 15,Hogar,1858.17,1100,Cliente 100,cliente100@example.com,555-9845,Calle 100 #409,1,Hogar,5574.51,11
112,1040,507,7,12/1/2024,Este,507,Producto 7,Juguetería,209.15,1040,Cliente 40,cliente40@example.com,555-3712,Calle 40 #972,2,Jugueteria,1464.05,12
113,1043,524,9,13/1/2024,Oeste,524,Producto 24,Hogar,1477.99,1043,Cliente 43,cliente43@example.com,555-9155,Calle 43 #38,1,Hogar,13301.91,13
114,1014,516,3,14/1/2024,Sur,516,Producto 16,Juguetería,281.38,1014,Cliente 14,cliente14@example.com,555-6938,Calle 14 #907,2,Jugueteria,844.14,14
115,1043,511,9,15/1/2024,Norte,511,Producto 11,Juguetería,1581.68,1043,Cliente 43,cliente43@example.com,555-9155,Calle 43 #38,2,Jugueteria,14235.12,15
116,1044,506,8,16/1/2024,Este,506,Producto 6,Hogar,941.46,1044,Cliente 44,cliente44@example.com,555-2333,Calle 44 #654,1,Hogar,7531.68,16
117,1016,501,9,17/1/2024,Oeste,501,Producto 1,Juguetería,1945.7,1016,Cliente 16,cliente16@example.com,555-4604,Calle 16 #329,2,Jugueteria,17511.3,17
118,1031,506,1,18/1/2024,Norte,506,Producto 6,Hogar,941.46,1031,Cliente 31,cliente31@example.com,555-7137,Calle 31 #749,1,Hogar,941.46,18
119,1079,520,3,19/1/2024,Oeste,520,Producto 20,Electrónica,1713.66,1079,Cliente 79,cliente79@example.com,555-2954,Calle 79 #52,3,Electronica,5140.98,19
120,1024,515,6,20/1/2024,Norte,515,Producto 15,Hogar,1858.17,1024,Cliente 24,cliente24@example.com,555-3073,Calle 24 #736,1,Hogar,11149.02,20
121,1063,524,8,21/1/2024,Sur,524,Producto 24,Hogar,1477.99,1063,Cliente 63,cliente63@example.com,555-3563,Calle 63 #653,1,Hogar,11823.92,21
122,1033,526,4,22/1/2024,Norte,526,Producto 26,Electrónica,800.27,1033,Cliente 33,cliente33@example.com,555-6174,Calle 33 #605,3,Electronica,3201.08,22
123,1009,517,7,23/1/2024,Norte,517,Producto 17,Hogar,255.04,1009,Cliente 9,cliente9@example.com,555-4614,Calle 9 #509,1,Hogar,1785.28,23
124,1086,526,2,24/1/2024,Norte,526,Producto 26,Electrónica,800.27,1086,Cliente 86,cliente86@example.com,555-1791,Calle 86 #10,3,Electronica,1600.54,24
125,1078,515,4,25/1/2024,Oeste,515,Producto 15,Hogar,1858.17,1078,Cliente 78,cliente78@example.com,555-3615,Calle 78 #74,1,Hogar,7432.68,25
126,1099,504,7,26/1/2024,Oeste,504,Producto 4,Electrónica,1195.43,1099,Cliente 99,cliente99@example.com,555-2620,Calle 99 #516,3,Electronica,8368.01,26
127,1092,514,2,27/1/2024,Norte,514,Producto 14,Hogar,36.84,1092,Cliente 92,cliente92@example.com,555-5497,Calle 92 #890,1,Hogar,73.68,27
128,1093,512,2,28/1/2024,Norte,512,Producto 12,Hogar,553.49,1093,Cliente 93,cliente93@example.com,555-8416,Calle 93 #550,1,Hogar,1106.98,28
129,1086,504,8,29/1/2024,Sur,504,Producto 4,Electrónica,1195.43,1086,Cliente 86,cliente86@example.com,555-1791,Calle 86 #10,3,Electronica,9563.44,29
130,1043,515,7,30/1/2024,Este,515,Producto 15,Hogar,1858.17,1043,Cliente 43,cliente43@example.com,555-9155,Calle 43 #38,1,Hogar,13007.19,30
131,1006,520,3,31/1/2024,Oeste,520,Producto 20,Electrónica,1713.66,1006,Cliente 6,cliente6@example.com,555-4164,Calle 6 #843,3,Electronica,5140.98,31
132,1089,501,3,1/2/2024,Este,501,Producto 1,Juguetería,1945.7,1089,Cliente 89,cliente89@example.com,555-8716,Calle 89 #161,2,Jugueteria,5837.1,32
133,1027,521,5,2/2/2024,Sur,521,Producto 21,Electrónica,392.57,1027,Cliente 27,cliente27@example.com,555-4436,Calle 27 #993,3,Electronica,1962.85,33
134,1004,523,7,3/2/2024,Norte,523,Producto 23,Periféricos,784.96,1004,Cliente 4,cliente4@example.com,555-4559,Calle 4 #318,4,Perifericos,5494.72,34
135,1051,508,6,4/2/2024,Norte,508,Producto 8,Periféricos,1118.84,1051,Cliente 51,cliente51@example.com,555-3903,Calle 51 #234,4,Perifericos,6713.04,35
136,1061,509,8,5/2/2024,Sur,509,Producto 9,Juguetería,560.93,1061,Cliente 61,cliente61@example.com,555-5936,Calle 61 #739,2,Jugueteria,4487.44,36
137,1060,510,9,6/2/2024,Este,510,Producto 10,Juguetería,446.9,1060,Cliente 60,cliente60@example.com,555-6932,Calle 60 #33,2,Jugueteria,4022.1,37
138,1076,510,7,7/2/2024,Este,510,Producto 10,Juguetería,446.9,1076,Cliente 76,cliente76@example.com,555-8537,Calle 76 #76,2,Jugueteria,3128.3,38
139,1007,501,1,8/2/2024,Este,501,Producto 1,Juguetería,1945.7,1007,Cliente 7,cliente7@example.com,555-5890,Calle 7 #848,2,Jugueteria,1945.7,39
140,1090,503,2,9/2/2024,Oeste,503,Producto 3,Juguetería,1037.4,1090,Cliente 90,cliente90@example.com,555-6823,Calle 90 #844,2,Jugueteria,2074.8,40
141,1018,505,8,10/2/2024,Oeste,505,Producto 5,Juguetería,867.83,1018,Cliente 18,cliente18@example.com,555-2180,Calle 18 #719,2,Jugueteria,6942.64,41
142,1011,524,1,11/2/2024,Oeste,524,Producto 24,Hogar,1477.99,1011,Cliente 11,cliente11@example.com,555-6675,Calle 11 #946,1,Hogar,1477.99,42
143,1069,504,6,12/2/2024,Norte,504,Producto 4,Electrónica,1195.43,1069,Cliente 69,cliente69@example.com,555-6828,Calle 69 #425,3,Electronica,7172.58,43
144,1036,506,7,13/2/2024,Sur,506,Producto 6,Hogar,941.46,1036,Cliente 36,cliente36@example.com,555-7590,Calle 36 #977,1,Hogar,6590.22,44
145,1032,516,1,14/2/2024,Este,516,Producto 16,Juguetería,281.38,1032,Cliente 32,cliente32@example.com,555-4783,Calle 32 #993,2,Jugueteria,281.38,45
146,1057,504,4,15/2/2024,Sur,504,Producto 4,Electrónica,1195.43,1057,Cliente 57,cliente57@example.com,555-3017,Calle 57 #334,3,Electronica,4781.72,46
147,1093,530,8,16/2/2024,Sur,530,Producto 30,Electrónica,582.82,1093,Cliente 93,cliente93@example.com,555-8416,Calle 93 #550,3,Electronica,4662.56,47
148,1095,511,9,17/2/2024,Este,511,Producto 11,Juguetería,1581.68,1095,Cliente 95,cliente95@example.com,555-4408,Calle 95 #401,2,Jugueteria,14235.12,48
149,1068,502,6,18/2/2024,Sur,502,Producto 2,Electrónica,1317.19,1068,Cliente 68,cliente68@example.com,555-9296,Calle 68 #254,3,Electronica,7903.14,49
150,1083,528,5,19/2/2024,Oeste,528,Producto 28,Electrónica,148.14,1083,Cliente 83,cliente83@example.com,555-6916,Calle 83 #878,3,Electronica,740.7,50
151,1044,523,9,20/2/2024,Norte,523,Producto 23,Periféricos,784.96,1044,Cliente 44,cliente44@example.com,555-2333,Calle 44 #654,4,Perifericos,7064.64,51
152,1082,511,3,21/2/2024,Este,511,Producto 11,Juguetería,1581.68,1082,Cliente 82,cliente82@example.com,555-3186,Calle 82 #935,2,Jugueteria,4745.04,52
153,1012,515,7,22/2/2024,Este,515,Producto 15,Hogar,1858.17,1012,Cliente 12,cliente12@example.com,555-5692,Calle 12 #991,1,Hogar,13007.19,53
